ID,Description,Calories,Protein,TotalFat,Carbohydrate,Sodium,SaturatedFat,Cholesterol,Sugar,Calcium,Iron,Potassium,VitaminC,VitaminE,VitaminD
6594,"CAMPBELL'S SOUP AT HAND,NEW ENGLAND CLAM CHOWDER",40,1.31,1.97,4.26,292,0.328,2,0,7,0.35,,0,,
6595,"CAMPBELL SOUP COMPANY,CAMPBELL'S SOUP AT HAND,VEG BF SOUP",20,0.98,0.33,3.28,305,0.164,2,1.64,7,0.12,,0,,
6596,"CAMPBELL'S SOUP AT HAND,VELVETY POTATO SOUP",51,0.66,2.3,6.89,285,0.328,2,1.64,7,0.12,,0,,
6597,"CAMPBELL SOUP COMPANY,PACE,CHIPOTLE CHUNKY SALSA",25,0,0,6.25,719,0,0,6.25,0,0,,0,,
6598,"CAMPBELL SOUP COMPANY,PACE,CILANTRO CHUNKY SALSA",25,0,0,6.25,844,0,0,6.25,0,0,,0,,
6599,"CAMPBELL SOUP COMPANY,PACE,ENCHILADA SAU",40,1.67,0,8.33,867,0,0,6.67,,0.6,,2,,
6600,"CAMPBELL SOUP COMPANY,PACE,GRN TACO SAU",25,0,0,6.25,625,0,0,6.25,,,,,,
6601,"CAMPBELL SOUP COMPANY,PACE,LIME & GARLIC CHUNKY SALSA",38,0,0,9.38,656,0,0,6.25,0,0,,5.6,,
6602,"CAMPBELL SOUP COMPANY,PACE,ORGANIC PICANTE SAU",25,0,0,6.25,688,0,0,6.25,,,,,,
6603,"CAMPBELL SOUP COMPANY,PACE,PICANTE SAU",25,0,0,6.25,781,,0,6.25,,,,,,
6604,"CAMPBELL SOUP COMPANY,PACE,RED TACO SAU",50,0,0,12.5,813,0,0,6.25,0,0,,0,,
6605,"CAMPBELL SOUP COMPANY,PACE,THICK & CHUNKY SALSA",25,0,0,6.25,719,0,0,6.25,,,,,,
6609,"CAMPBELL SOUP COMPANY,SWANSON BROTH,CERT ORGANIC VEG BROTH",5,0,0,1.28,234,0,0,0.85,0,0,,0,,
6615,"CAMPBELL SOUP COMPANY,SWANSON BROTH,VEG BROTH",5,0,0,1.28,400,0,0,0.85,0,0,,0,,
6617,"CAMPBELL SOUP COMPANY,HLTHY RQUST STYLE WEDDING SP",45,2.45,1.02,6.53,167,0.408,4,0.41,16,0.44,,0,,
6720,"SAUCE,CHS SAU MIX,DRY",438,7.68,18.33,60.52,3202,8.44,23,10.26,204,0.5,428,0.9,,
6725,"SOUP,CHICK CORN CHOWDER,CHUNKY,RTS,SINGLE BRAND",99,3.1,6.3,7.5,299,1.75,11,,,,,,,
6726,"SOUP,CHICK MUSHROOM CHOWDER,CHUNKY,RTS,SINGLE BRAND",80,3,4.4,7.1,339,1.15,6,,,0.48,,2,,
6728,"SOUP,POTATO HAM CHOWDER,CHUNKY,RTS,SINGLE BRAND",80,2.7,5.2,5.6,364,1.62,9,,,0.7,,,,
6729,"SOUP,SIRLOIN BURGER W/VEG,RTS,SINGLE BRAND",77,4.2,3.7,6.8,361,1.33,11,,,0.87,,,,
6730,"SOUP,SPLIT PEA W/ HAM,CHUNKY,RED FAT,RED NA,RTS,SINGLE BRAND",76,5.2,1.1,11.3,343,0.3,6,,,0.92,,4.2,,
6731,"SOUP,BEAN W/BACON,COND,SINGLE BRAND",117,6.5,2.1,18,736,0.601,3,,,1.37,,,,
6733,"SOUP,BF W/VEG&BARLEY,CND,COND,SINGLE BRAND",61,3.9,1.4,8.2,707,0.48,6,,,,,,,
6734,"SOUP,CHICK W/STAR-SHAPED PASTA,CND,COND,SINGLE BRAND",50,2.3,1.4,7.1,732,0.342,4,,,,,,,
6736,"SOUP,CRM OF CHICK,CND,COND,SINGLE BRAND",99,2.4,6.5,7.7,788,1.61,7,,,,,,,
6738,"SOUP,SPLIT PEA W/HAM&BACON,CND,COND,SINGLE BRAND",140,8.6,2.3,21.2,729,0.676,3,,,1.59,,,,
6739,"SOUP,VEG BF,CND,COND,SINGLE BRAND",53,3.8,0.8,7.7,555,0.231,5,,,,,,,
6740,"SOUP,CHICK VEG,CHUNKY,RED FAT,RED NA,RTS,SINGLE BRAND",40,2.7,0.5,6.3,192,0.121,4,,,,,,,
6742,"SOUP,VEG BF,MICROWAVABLE,RTS,SINGLE BRAND",44,6.2,0.7,3.3,376,0.221,3,,,,,,,
6749,"SOUP,BF & VEG,CND,RTS",47,3.2,1.08,6.05,301,,10,1.37,18,0.48,187,,,
6930,"SAUCE,CHS,RTS",174,6.71,13.29,6.83,828,6.01,29,0.42,184,0.21,30,0.4,,
6931,"SAUCE,PASTA,SPAGHETTI/MARINARA,RTS",49,1.41,1.48,7.53,419,0.17,2,5.5,27,0.78,319,2,2.4,0
6932,"CAMPBELL SOUP COMP,PREGO PASTA,TRADITIONAL ITALIAN SAU,RTS",54,1.54,1.15,10,369,0,0,7.69,15,0.55,292,1.8,,
6955,"SOUP,CRM OF CHICK,CND,COND,RED NA",58,1.8,1.3,9.5,357,0.5,6,0.39,11,0.2,272,0,0.08,0
6956,"SOUP,TOMATO,CND,COND,RED NA",65,1.61,0.56,13.41,22,0.155,0,8.11,13,1.11,229,12.9,0.34,0
6957,"GRAVY,BROWN INST,DRY",380,8.53,11.85,59.78,5053,5.866,12,9.23,116,7.4,367,1.9,0.38,0
6958,"GRAVY,INST BF,DRY",369,9.8,9.48,61.1,5203,4.88,11,23.9,141,6.27,450,0.9,0.01,0
6959,"GRAVY,INST TURKEY,DRY",409,11.72,14.66,57.56,4090,4.931,24,7.6,115,9.57,306,0.9,0.74,0
6960,"SAUCE,ALFREDO MIX,DRY",535,15.32,36.35,36.52,2590,13.18,56,5.4,467,0.94,254,0,1.84,
6961,"SAUCE,PEPPERS,HOT,CHILI,MATURE RED,CND",21,0.9,0.6,3.9,25,0.08,0,2.55,9,0.5,564,30,0.36,0
6962,"SAUCE,CHILI,PEPPERS,HOT,IMMAT GRN,CND",20,0.7,0.1,5,25,0.013,0,2.55,5,0.4,564,68,0.34,0
6963,FISH BROTH,16,2,0.6,0.4,318,0.133,0,0.09,30,0.21,86,0,0.15,0
6964,"SOUP,TOMATO,LO NA,W/H2O",30,0.79,0.28,6.57,33,0.076,0,3.97,8,0.54,112,6.3,0.17,0
6965,"SOUP,PEA,LO NA,PREP W/ EQ VOLUME H2O",62,3.2,1.09,9.88,10,0.524,0,3.19,12,0.73,71,0.6,0.09,0
6966,"SOUP,CHICK NOODLE,LO NA,CND,PREP W/ EQ VOLUME H2O",25,1.27,0.95,2.95,173,0.262,5,0.27,6,0.66,22,0,0.03,0
6967,"SOUP,VEG SOUP,COND,LO NA,PREP W/ EQ VOLUME H2O",33,1.1,0.45,6.06,194,0.074,0,2.15,12,0.33,217,0.4,0.72,0
6968,"SOUP,CRM OF MUSHROOM,LO NA,RTS,CND",53,1,3.7,4.53,20,1.005,1,1.72,19,0.21,41,0.4,0.37,0
6969,"POTATO SOUP,INST,DRY MIX",343,9.2,3.1,76.14,612,0.613,12,10,172,2.38,1248,16,0.54,0
6970,"SOUP,CHICK BROTH,LO NA,CND",16,2,0.6,1.2,30,0.179,0,0.13,4,0.21,86,0,0,0
6971,"SAUCE,WORCESTERSHIRE",78,0,0,19.46,980,0,0,10.03,107,5.3,800,13,0.08,0
6972,"SAUCE,TOMATO CHILI SAU,BTLD,W/SALT",104,2.5,0.3,19.79,1338,0.045,0,10.54,20,0.8,370,16,1.92,0
6973,"SAUCE,TOMATO CHILI SAU,BTLD,NO SALT,LO NA",104,2.5,0.3,28.73,20,0.044,0,8.96,20,0.8,370,16,0.25,0
6974,"SOUP,VEG CHICK,CND,PREP W/ H2O,LO NA",69,5.1,2,8.76,35,0.597,7,1.42,11,0.61,153,2.3,0.3,0
6975,"SAUCE,BARBECUE,LO NA",150,0,0.29,36.25,133,0,0,26.06,12,0.21,208,0.7,0.66,0
6976,"SAUCE,PASTA,SPAGHETTI/MARINARA,RTS,LO NA",51,1.41,1.48,8.06,30,0.17,2,5.5,27,0.78,319,2,2.4,0
6977,"GRAVY,MEAT OR POULTRY,LO NA,PREP",53,3.8,2.4,6.16,18,1.003,3,0.01,6,0.7,81,0,0.06,0
6978,"SOUP,BF & MUSHROOM,LO NA,CHUNK STYLE",69,4.3,2.3,9.58,25,1.621,6,0.84,13,0.97,140,3,0.22,0
6979,ADOBO FRESCO,271,2,20.9,18.6,17152,2.91,0,2.03,123,3.2,187,5.8,2.69,0
6980,"SOUP,BF STROGANOFF,CND,CHUNKY STYLE,RTS",98,5.1,4.6,9,435,2.324,21,1.68,20,0.88,140,0,0.41,0
6981,"SOUP,BOUILLON CUBES&GRANULES,LO NA,DRY",438,16.7,13.89,64.88,1067,3.433,13,14.47,187,1.03,309,1.1,0.72,0
6982,"SOUP,RAMEN NOODLE,BF FLAVOR,DRY",436,10.29,15.71,63.27,2002,7.965,,1.78,30,4.11,185,0.6,1.56,
6983,"SOUP,RAMEN NOODLE,CHICK FLAVOR,DRY",437,10.66,15.55,63.57,2071,7.095,,1.35,27,3.92,173,0,1.45,
6984,"SOUP,SWANSON CHICK BROTH 99% FAT FREE",4,0.54,0.17,0.14,409,0,0,0.15,4,0.14,30,0,,
6985,"GRAVY,HEINZ HOME STYLE SAVORY BF GRAVY",39,1.09,1.13,6.24,587,0.4,2,0.52,6,0.13,22,0,,
6986,"CAMPBELL SOUP COMPANY,HEALTHY REQUEST,CHICK NOODLE SOUP,COND",48,2.38,1.59,6.35,325,0.397,8,0.79,,0,357,0,,
6987,"CAMPBELL SOUP COMPANY,HEALTHY REQUEST,CRM OF CELERY,COND",56,0.81,1.61,9.68,331,0.403,4,1.61,81,0,484,0,,
6988,"CAMPBELL SOUP COMPANY,HEALTHY REQUEST,CRM OF MUSHROOM ,COND",56,1.61,1.61,8.06,331,0.403,4,1.61,81,0,629,0,,
6989,"CAMPBELL SOUP,HEALTHY REQUEST,HOMESTYL CHICK NOODLE,COND",48,2.38,1.19,7.94,325,0.397,8,0.79,0,0.29,349,0,,
6990,"CAMPBELL SOUP COMPANY,HEALTHY REQUEST,MINESTRONE SOUP,COND",63,2.38,0.4,11.9,325,0,0,3.17,32,0.86,659,0,,
6991,"CAMPBELL SOUP COMPANY,HEALTHY REQUEST,TOMATO SOUP,COND",73,1.61,1.21,13.71,331,0.403,0,8.06,0,0,565,4.8,,
6992,"CAMPBELL SOUP COMPANY,HEALTHY REQUEST,VEG SOUP,COND",79,3.17,0.79,15.87,325,0,0,3.97,16,0.57,683,,,
6994,"CAMPBELL SOUP,PREGO PASTA,CHUNKY GARDEN COMB ITALIAN SAU,RTS",54,1.54,1.15,10,362,0,0,7.69,15,0.55,308,1.8,,
6995,"CAMPBELL,PREGO PASTA,CHNKY GRDN TMTO,ON & GRLIC ITAL SAU,RTS",72,1.6,2.4,10.4,376,0,0,8,16,0.58,320,2.9,,
6996,"CAMPBELL SOUP COMPANY,CAMPBELL'S AU JUS GRAVY",8,1.69,0,0,390,0,0,,,,,,,
6997,"CAMPBELL SOUP COMPANY,CAMPBELL'S BF GRAVY",42,1.69,1.69,5.08,458,0.847,8,1.69,0,0,,0,,
6998,"CAMPBELL SOUP COMPANY,CAMPBELL'S BROWN GRAVY W/ ONIONS",42,0,1.69,6.78,559,0,0,3.39,,,,,,
6999,"CAMPBELL SOUP COMPANY,CAMPBELL'S CHICK GRAVY",68,0,5.08,5.08,441,1.695,8,1.69,0,0,,0,,
7001,"BARBECUE LOAF,PORK,BEEF",173,15.84,8.9,6.4,1334,3.17,37,,55,1.16,329,0,,0.9
7002,"BEERWURST,BEER SALAMI,PORK & BF",277,14,22.53,3.76,732,8.438,62,0,27,1.73,244,0.6,0.19,0.9
7003,"BEERWURST,BEER SALAMI,PORK",238,14.24,18.8,2.06,1240,6.28,59,,8,0.76,253,0,,0.9
7004,SAUSAGE  BERLINER  PORK  BF,230,15.27,17.2,2.59,1297,6.08,46,2.35,12,1.15,283,0,,0.3
7005,BLOOD SAUSAGE,379,14.6,34.5,1.29,680,13.4,120,1.29,6,6.4,38,0,0.13,1.3
7006,BOCKWURST  PORK  VEAL  RAW,301,14.03,25.87,2.95,497,10.256,93,1.33,41,1.15,270,3.2,0.38,0
7007,"BOLOGNA,BF",311,10.27,28.19,3.98,1080,11.134,56,0,31,1.1,172,15.2,0.35,0.7
7008,"BOLOGNA,BF & PORK",308,15.2,24.59,5.49,960,9.301,60,4.42,85,1.21,315,0.8,0,0.8
7010,"BOLOGNA,PORK",247,15.3,19.87,0.73,1184,6.839,59,0,11,0.77,281,0,0.26,1.4
7011,BOLOGNA  TURKEY,209,11.42,16.05,4.68,1071,4.355,75,2.9,123,3,135,13.3,0.45,0.6
7013,"BRATWURST,PORK,CKD",333,13.72,29.18,2.85,846,9.998,74,0,28,0.53,348,0,0.26,1.1
7014,"BRAUNSCHWEIGER (A LIVER SAUSAGE),PORK",327,14.5,28.5,3.1,1160,9.307,180,0,9,11.2,199,0,0.35,1.2
7015,"BROTWURST,PORK,BF,LINK",323,14.3,27.8,2.93,1112,9.93,63,2.98,48,1.03,281,0,0.27,0.3
7016,"CHEESEFURTER,CHS SMOKIE,PORK,BF",328,14.1,29,1.37,1082,10.47,68,1.51,58,1.08,206,0,0.24,0.3
7017,CHICKEN ROLL  LT MEAT,110,16.64,2.73,4.66,1059,0.621,45,0.57,16,0.41,439,0,0.27,0
7018,CHICKEN SPRD,158,18.01,17.56,4.05,722,3.23,56,0.47,16,0.87,106,0,,
7019,"CHORIZO,PORK AND BEEF",455,24.1,38.27,1.86,1235,14.38,88,0,8,1.59,398,0,0.22,1.5
7020,"CORNED BEEF LOAF,JELLIED",153,22.9,6.1,0,953,2.6,47,,11,2.04,101,0,,
7021,"DUTCH BRAND LOAF,CHICK,PORK & BF",273,12,22.91,3.93,1055,9.043,60,0.9,7,0.16,210,1.4,0.26,1
7022,"FRANKFURTER,BF,UNHTD",313,11.18,27.8,3.72,1037,10.979,55,1.3,13,1.25,290,0,0.2,0.9
7023,FRANKFURTER  BF & PORK,305,11.53,27.64,1.72,1120,10.77,50,0,11,1.15,167,0,0.25,0.9
7024,"FRANKFURTER,CHICK",223,15.51,16.19,2.74,844,3.856,96,0.53,74,1.17,202,0,0.22,0.5
7025,"FRANKFURTER,TURKEY",223,12.23,17.29,3.81,1078,4.028,77,1.21,148,1.47,392,0,0.62,0.6
7026,"HAM,CHOPPED,CANNED",239,16.06,18.83,0.26,1365,6.291,49,0,7,0.95,284,2,0.25,0.6
7028,"HAM,SLICED,PREPACKAGED (96% FAT FREE,H2O ADDED)",105,16.47,3.61,0.59,1203,1.022,41,1.04,5,0.57,638,0,0.29,0.7
7029,"HAM,SLICED,REG (APPROX 11% FAT)",163,16.6,8.6,3.83,1304,2.936,57,0,24,1.02,287,4,0.08,0.7
7030,"HAM,MINCED",263,16.28,20.68,1.84,1245,7.181,70,0,10,0.79,311,0,0.27,0.7
7034,"HEADCHEESE,PORK",157,13.83,10.9,0,830,3.402,69,0,16,1.5,31,0,0.25,0.9
7035,HONEY LOAF  PORK  BF,125,11.12,4.47,9.98,1320,1.449,34,0.17,17,1.35,343,0,0.12,1
7036,"SAUSAGE,ITALIAN,PORK,RAW",346,14.25,31.33,0.65,731,11.27,76,,18,1.18,253,2,,
7037,"KIELBASA,KOLBASSY,PORK,BF,NONFAT DRY MILK",309,12.23,27.29,2.81,904,9.233,66,1.6,17,0.82,300,0,0.22,1.1
7038,KNACKWURST  KNOCKWURST  PORK  BF,307,11.1,27.7,3.2,930,10.21,60,0,11,0.66,199,0,0.57,1.1
7039,LEBANON BOLOGNA  BF,172,19.03,10.44,0.44,1374,2.794,55,0,20,2.15,330,0.9,0.57,0.3
7040,"LIVER CHEESE,PORK",304,15.2,25.6,2.1,1225,8.96,174,,8,10.83,226,3,,
7041,"LIVER SAUSAGE,LIVERWURST,PORK",326,14.1,28.5,2.2,860,10.6,158,,26,6.4,170,0,,
7042,"LUNCHEON MEAT,BEEF,LOAVED",308,14.4,26.2,2.9,1329,11.214,64,0,11,2.32,208,0,0.22,0.4
7043,"LUNCHEON MEAT,BF,THIN SLICED",117,17.94,3.4,2.59,1117,1.101,48,0,6,2.04,308,0,0.19,0.1
7044,"USDA CMDTY,LUNCHEON MEAT,CND",189,17.5,12.77,1.04,820,3.944,78,0,5,0.97,300,0,0.16,
7045,"LUNCHEON MEAT,PORK,CANNED",334,12.5,30.3,2.1,1289,10.79,62,0,6,0.72,215,1,0.26,0.5
7046,"TURKEY BREAST,LO SALT,PREPACKAGED OR DELI,LUNCHEON MEAT",116,22.81,0.88,4.21,772,0.333,44,3.51,8,0.63,211,5.7,0.09,0.1
7047,"LUNCHEON MEAT,PORK,BEEF",353,12.59,32.16,2.33,1293,11.59,55,0,9,0.86,202,0,0.22,1
7050,"MORTADELLA,BEEF,PORK",311,16.37,25.39,3.05,1246,9.51,56,0,18,1.4,163,0,0.22,1
7051,"OLIVE LOAF,PORK",235,11.8,16.5,9.2,1484,5.85,38,0,109,0.54,297,0,0.25,1.1
7052,"PASTRAMI,TURKEY",133,16.3,6.21,1.79,981,1.699,68,3.34,11,4.2,345,8.1,0.22,0.2
7053,"PATE,CHICKEN LIVER,CANNED",201,13.45,13.1,6.55,386,4,391,0,10,9.19,95,10,0.98,0
7054,"PATE,GOOSE LIVER,SMOKED,CND",462,11.4,43.84,4.67,697,14.45,150,,70,5.5,138,0,,
7055,"PATE,LIVER,NOT SPECIFIED,CND",319,14.2,28,1.5,697,9.57,255,,70,5.5,138,2,,
7056,PEPPERED LOAF  PORK  BF,149,17.3,6.37,4.53,1523,2.28,46,4.61,54,1.07,394,0,0.22,0.8
7057,"PEPPERONI,PORK,BEEF",494,22.68,43.98,0,1653,14.86,105,0,22,1.62,279,0.7,0,0.2
7058,"PICKLE&PIMIENTO LOAF,PORK",225,11.23,15.95,8.46,1304,5.287,58,8.46,109,1.33,371,7.8,0.4,0.8
7059,"POLISH SAUSAGE,PORK",326,14.1,28.72,1.63,876,10.33,70,,12,1.44,237,1,,
7060,"LUXURY LOAF,PORK",141,18.4,4.8,4.9,1225,1.58,36,,36,1.05,377,0,,0.7
7061,"MOTHER'S LOAF,PORK",282,12.07,22.3,7.53,1127,7.95,45,,43,1.32,225,1,,1
7062,"PICNIC LOAF,PORK,BEEF",232,14.92,16.64,4.76,1164,6.07,38,,47,1.02,267,0,,1.2
7063,"PORK SAUSAGE,FRSH,RAW",304,15.09,26.53,0,636,8.796,72,0,9,1.11,248,0.7,0.19,1.3
7064,"PORK SAUSAGE,FRSH,CKD",339,19.43,28.36,0,749,9.153,84,0,13,1.36,294,0.7,0.55,0.7
7065,"PORK&BF SAUSAGE,FRSH,CKD",396,13.8,36.25,2.7,805,12.96,71,0,10,1.13,189,0,0.22,0.7
7066,"TURKEY SAUSAGE,RED FAT,BROWN&SERVE,CKD",204,17,10.3,10.92,617,2.871,58,0,31,1.8,207,0,0,0.4
7067,POULTRY SALAD SNDWCH SPRD,200,11.64,13.52,7.41,653,3.45,30,0,10,0.61,183,1,2.2,0.2
7068,SALAMI  CKD  BF,261,12.6,22.2,1.9,1140,9.865,71,1.5,6,2.2,188,0,0.19,1.2
7069,"SALAMI,CKD,BF&PORK",336,21.85,25.9,2.4,1449,9.316,89,0.96,15,1.56,316,0,0.22,1
7070,"SALAMI,COOKED,TURKEY",172,19.3,9.21,1.55,1004,2.783,76,1.12,40,1.25,216,0,0.24,0.6
7071,"SALAMI,DRY OR HARD,PORK",407,22.58,33.72,1.6,2260,11.89,79,,13,1.3,378,0,,
7072,"SALAMI,DRY OR HARD,PORK,BF",385,23.2,30.05,3.8,2010,10.612,100,0,8,1.51,378,0,0.28,1.2
7073,"SANDWICH SPREAD,PORK,BEEF",235,7.66,17.34,11.94,1013,5.977,38,0,12,0.79,110,0,1.74,0.6
7074,"SMOKED LINK SAUSAGE,PORK",307,11.98,28.23,0.18,827,9.313,61,0.94,11,0.59,483,0,0.25,1.1
7075,"SAUSAGE,SMOKED LINK SAUSAGE,PORK & BF",320,12,28.73,2.42,911,9.769,58,0,12,0.75,179,0,0.13,1.1
7076,"SMOKED LINK SAUSAGE,PORK&BF,FLR&NONFAT DRY MILK",268,13.97,21.43,3.96,1272,7.789,65,3,66,1.44,155,3.2,0.22,0.8
7077,"SMOKED LINK SAUSAGE,PORK&BF,NONFAT DRY MILK",313,13.28,27.61,1.92,1173,9.72,65,,41,1.47,286,0,,
7078,"THURINGER,CERVELAT,SMMR SAUSAGE,BF,PORK",362,17.45,30.43,3.33,1300,11.51,74,0.85,9,2.04,260,16.6,0.22,1.1
7079,TURKEY BREAST MEAT,104,17.07,1.66,4.21,1015,0.333,43,3.51,8,1.44,302,5.7,0.09,0.1
7080,"TURKEY HAM,CURED TURKEY THIGH MEAT",126,17.5,4.84,2.04,1114,1.526,72,1.43,8,2.34,287,8.9,0.64,0.1
7081,"TURKEY BREAST,SLICED,PREPACKAGED",99,16.3,2.15,2.5,928,0.501,50,1.23,9,0.35,497,0,0.13,0.2
7082,"TURKEY ROLL,LT&DK MEAT",149,18.14,6.99,2.12,586,2.04,55,0,32,1.35,270,0,0.34,0.2
7083,"SAUSAGE,VIENNA,CND,CHICK,BF,PORK",230,10.5,19.4,2.6,969,7.125,87,0,10,0.88,101,0,0.22,0.6
7088,"HONEY ROLL SAUSAGE,BEEF",182,18.58,10.5,2.18,1322,4.08,50,,9,2.2,291,0,,1
7089,"SAUSAGE,ITALIAN,PORK,CKD",344,19.12,27.31,4.27,1207,9.655,57,0.86,21,1.43,304,0.1,0.25,1
7090,"LUNCHEON SAUSAGE,PORK&BF",260,15.38,20.9,1.58,1182,7.62,64,,13,1.43,245,0,,
7091,"NEW ENGLAND BRAND SAUSAGE,PORK,BF",161,17.27,7.58,4.83,1220,2.56,49,,7,0.94,321,0,,
7200,"OSCAR MAYER,BOLOGNA (CHICK,PORK,BF)",318,10.9,29.4,2.4,1033,10.49,103,1.4,69,1.78,154,0,,
7201,"OSCAR MAYER,BOLOGNA (BEEF)",316,11.05,29.1,2.45,1179,12.85,64,1.4,12,1.36,168,0,,0.8
7202,"OSCAR MAYER,BOLOGNA (BEEF LIGHT)",200,11.75,14.5,5.6,1151,5.82,44,2.3,13,1.22,156,0,,
7203,"OSCAR MAYER,BOLOGNA (FAT FREE)",79,12.6,0.6,6,977,0.235,25,2.2,15,0.92,156,0,,
7205,OSCAR MAYER  BOLOGNA LIGHT (PORK  CHICK  BEEF),202,11.5,14.75,5.7,1117,5.62,56,2.6,50,1.39,163,0,,
7206,OSCAR MAYER. BOLOGNA (WISCONSIN MADE RING),313,11.8,28.4,2.6,827,11.14,62,2.2,15,1.16,139,0,,1
7207,"OSCAR MAYER,BRAUNSCHWEIGER LIVER SAUSAGE (SLICED)",331,14.25,29.35,2.6,1159,10.94,178,1.2,9,10.51,202,9,,1.1
7208,"OSCAR MAYER,BRAUNSCHWEIGER LIVER SAUSAGE (SAREN TUBE)",341,14.2,30.6,2.3,1118,10.89,160,0.7,9,9.74,184,9,,0.8
7209,OSCAR MAYER  CHICKEN BREAST (HONEY GLAZED),109,19.85,1.5,3.95,1438,0.394,53,4.3,10,1.13,329,0,,
7210,"OSCAR MAYER,CHICK BREAST (OVEN RSTD,FAT FREE)",85,18.3,0.6,1.7,1242,0.17,44,0.9,12,1.33,316,0,,
7211,OSCAR MAYER  HAM & CHEESE LOAF,234,13.85,18.2,3.75,1167,6.561,62,3.3,67,0.86,265,0,,1.1
7212,"OSCAR MAYER,HAM (CHOPPED W/ NAT JUICE)",180,16.3,11.15,3.65,1249,4.056,59,2.2,9,1.3,260,0,,
7213,OSCAR MAYER  HAM (WATER ADDED  BKD CKD 96% FAT FREE),104,16.3,3.52,1.83,1242,0.851,48,1,10,1.3,268,0,,
7214,"OSCAR MAYER,HAM (H2O ,BLD)",104,16.6,3.7,1.2,1348,1.247,47,0.3,10,1.48,283,0,,
7215,"OSCAR MAYER,HAM (H2O ,HONEY)",111,16.7,3.5,3.1,1248,1.167,45,3.1,10,1.35,281,0,,
7216,"OSCAR MAYER,HAM (H2O ,SMOKED,CKD)",99,16.6,3.6,0.1,1214,1.222,48,0.1,10,1.3,268,0,,
7217,"OSCAR MAYER,HAM (40%HAM/WATER PRODUCT,SMOKED,FAT FREE)",72,14.6,0.7,1.9,1084,0.221,38,1.1,11,0.91,234,0,,
7218,"OSCAR MAYER,HEAD CHEESE",185,15.7,13.5,0,1073,4.299,91,0,21,1.63,29,0,,1.2
7220,"OSCAR MAYER,LIVER CHS,PORK FAT WRAPPED",313,15.2,26.4,2.6,1105,9.3,211,1.3,9,11.9,214,2.7,,1.2
7221,"OSCAR MAYER,LUNCHEON LOAF (SPICED)",234,13.5,16.9,7,1226,5.367,67,4.6,109,1.35,270,0,,
7222,"OSCAR MAYER,OLD FASHIONED LOAF",231,13.1,16.3,8,1184,5.6,61,4.6,113,1.32,294,0,,
7223,"OSCAR MAYER,OLIVE LOAF (CHICK,PORK,TURKEY)",263,9.9,21.8,6.9,1318,7.02,71,3.2,111,1.74,186,0,,
7224,"OSCAR MAYER,PICKLE PIMIENTO LOAF (W/CHICK)",269,9.6,21.6,9.1,1275,6.99,80,6.9,110,2.17,174,0,,
7225,"OSCAR MAYER,PORK SAUSAGE LINKS (CKD)",343,16.3,30.5,1,836,10.69,77,0.9,16,1.72,238,0,,
7226,"OSCAR MAYER,SALAMI BF COTTO",206,14.2,15.7,1.9,1309,6.74,83,1.1,7,2.71,207,0,,
7227,"OSCAR MAYER,SALAMI COTTO (BF,PORK,CHICK)",245,13.4,20.3,2.2,1095,8.47,80,1.5,75,2.89,217,0,,
7228,"OSCAR MAYER,SALAMI (FOR BEER)",225,13.5,18.2,1.9,1231,6.388,69,1.1,9,1.18,212,0,,
7229,"OSCAR MAYER,SALAMI (GENOA)",388,20.7,33.3,1.2,1826,12.04,102,0.2,20,1.86,334,0,,
7230,"OSCAR MAYER,SALAMI (HARD)",368,25.9,28.7,1.6,1976,11.085,97,0.2,12,1.83,356,0,,1.6
7231,"OSCAR MAYER,SNDWCH SPRD (PORK,CHICK,BF)",237,6.5,16.6,15.4,821,5.754,45,7.9,27,0.8,118,0,,
7232,"OSCAR MAYER,SMOKIE LINKS SAUSAGE",302,12.4,27.3,1.7,1007,9.38,63,1.6,10,1.17,180,0,,
7233,OSCAR MAYER  SMOKIES (BEEF),296,12.25,26.65,1.95,967,11.25,62,1.4,11,1.75,173,0,,
7234,"OSCAR MAYER,SMOKIES (CHS)",303,12.9,27.1,1.8,1046,10.16,70,1.5,45,1.07,181,0,,
7235,"OSCAR MAYER,SMOKIES SAUSAGE LITTLE (PORK,TURKEY)",301,12.4,27.1,1.8,1022,9.444,64,1.4,11,1.18,173,0,,
7236,"OSCAR MAYER,SMOKIES SAUSAGE LITTLE CHS (PORK,TURKEY)",315,13.5,28.2,1.7,1036,11.16,67,0.3,67,1.24,152,0,,
7237,"OSCAR MAYER,SMMR SAUSAGE BF THURINGER CERVELAT",309,14.6,27,1.9,1424,11.8,80,1.1,8,2.49,233,0,,1
7238,"OSCAR MAYER,SMMR SAUSAGE THURINGER CERVALAT",304,14.9,26.7,0.9,1430,10.727,84,0.5,9,2.24,228,0,,1.2
7239,"OSCAR MAYER,TURKEY BREAST (SMOKED,FAT FREE)",80,14.9,0.6,3.6,1095,0.18,31,1.1,10,0.77,218,0,,
7240,"OSCAR MAYER,WIENERS (PORK,TURKEY)",327,10.95,29.9,2.7,988,9.467,72,1.8,60,1.16,162,0,,
7241,"OSCAR MAYER,WIENERS (BEEF FRANKS)",327,11.35,30.26,2.35,1025,12.46,56,1.6,10,1.34,130,0,,0.6
7242,OSCAR MAYER  WIENERS (BEEF FRANKS  BUN LENGTH),324,11.1,30.1,2.65,1025,12.53,59,1.8,13,1.56,158,0,,
